Term (from label),Term (from ontology),Membership
vegetable oil,['vegetable oil'],No Class
ingredients,['cold-pack cheese with added ingredients'],No Class
beef stock,['beef stock base (meatless)'],No Class
contains less,No results,No Class
mirepoix carrots,No results,No Class
celery,['wild celery plant'],No Class
onions,['peas and onions (raw)'],['vegetable or vegetable product (us cfr)']
salt,"['salt', 'salt', 'salt']",No Class
natural flavoring,No results,No Class
yeast extract,['yeast extract'],['refined or partially-refined food product (us cfr)']
cane sugar,['cane sugar'],No Class
clam stock,No results,No Class
potatoes,['obsolete: potatoes (scalloped)'],No Class
clams,"['25470 - clams, cockles, arkshells (efsa foodex2)']",No Class
cream,['soy cream'],No Class
vegetable oil corn,No results,No Class
canola,['canola meal'],No Class
soybean,['soybean stubble'],No Class
modified food starch,['no modified food starch added claim or use'],No Class
wheat flour,['wheat flour'],['milled grain or starch product (us cfr)']
soy protein concentrate,No results,No Class
uncured smoked bacon pieces,No results,No Class
nitrates nitrites added,No results,No Class
except naturally occurring sea salt pork,No results,No Class
water,"['water', 'water']",No Class
sea salt,['40590 - sea salt (efsa foodex2)'],No Class
sugar,['sugar'],No Class
dried onions,No results,No Class
spices,['brandy flavored with herbs and/or spices'],['distinctive distilled spirits (us cfr)']
sodium phosphate,['sodium phosphate'],No Class
flavoring,['hops product flavoring'],No Class
clam extract,No results,No Class
succinic acid,"['succinic acid', 'succinic acid', 'succinic acid']",No Class
soy lecithin,['soy lecithin spread'],['butter product analog (us cfr)']
soy sauce soybeans,No results,No Class
wheat,['food made from wheat'],No Class
cod,['cod'],No Class
milk,['milk'],No Class
soy,['soybean stubble'],No Class
broccoli,['broccoli sprout'],No Class
cheddar cheese cheddar cheese cultured milk,No results,No Class
enzymes,['44520 - enzymes for food manufacture (efsa foodex2)'],No Class
whey,['peanut whey'],No Class
butter,['butter'],No Class
parmesan cheddar cheese milk,No results,No Class
cultures,['44540 - starter cultures (efsa foodex2)'],No Class
roasted garlic,No results,No Class
annatto extract color,No results,No Class
soy lecithin driedcontains,No results,No Class
chicken stock,['chicken stock base (meatless)'],['flavoring or seasoning (us cfr)']
dehydrated chicken,"['soup mix, with dehydrated chicken']",['soup (us cfr)']
carrot juice concentrate,No results,No Class
celeriac juice concentrate,No results,No Class
chicken fat,['chicken fat'],No Class
onion extract,No results,No Class
pea beans,No results,No Class
carrots,['peas and carrots (canned)'],No Class
cooked ham,No results,No Class
water added pork,No results,No Class
sodium phosphates,No results,No Class
sodium ascorbate,['sodium ascorbate'],No Class
sodium nitrite,['sodium nitrite'],No Class
tomato paste,['tomato paste'],No Class
monosodium glutamate,['monosodium glutamate'],No Class
beta carotene color,No results,No Class
dried pork stock,No results,No Class
smoke flavoring,No results,No Class
garlic,['softneck garlic'],No Class
diced tomatoes tomato juice,No results,No Class
tomato puree water,No results,No Class
olive oil,['olive oil'],No Class
basil,['bush basil'],No Class
citric acid,"['citric acid', 'citric acid', 'citric acid']",No Class
black pepper,['black pepper plant'],No Class
oregano,"['oregano, mexican (plant)']",No Class
high fructose corn syrup,No results,No Class
potassium chloride,['potassium chloride'],No Class
ascorbic acid vitamin c,No results,No Class
monopotassium phosphate,No results,No Class
celery extract,No results,No Class
garlic oil contains,No results,No Class
chicken pork frankfurters made chicken,No results,No Class
pork beef mechanically separated chicken,No results,No Class
pork,['sweet and sour pork'],No Class
corn syrup,['corn syrup'],['nutritive sweetener (us cfr)']
beef,['cut of beef'],No Class
dextrose,['dextrose'],['nutritive sweetener (us cfr)']
ascorbic acid,"['ascorbic acid', 'ascorbic acid', 'ascorbic acid']",No Class
natural flavors,['popcorn (microwave with real butter and natural flavors)'],No Class
enriched pasta wheat flour,No results,No Class
niacin,"['nicotinic acid', 'niacin (b3)', 'nicotinic acid']",No Class
ferrous sulfate,No results,No Class
thiamine mononitrate,No results,No Class
riboflavin,"['riboflavin', 'riboflavin', 'riboflavin (b2)']",No Class
folic acid,"['folic acid', 'b9 folate', 'folic acid']",No Class
