vegetable    |    No Class
oil    |    No Class
ingredients    |    No Class
beef    |    No Class
stock    |    No Class
contains    |    No Class
less    |    No Class
mirepoix    |    No Class
carrots    |    No Class
celery    |    No Class
onions    |    No Class
salt    |    ['sodium chloride', 'sodium chloride']
natural    |    No Class
flavoring    |    No Class
yeast    |    No Class
extract    |    No Class
cane    |    No Class
sugar    |    No Class
clam    |    No Class
potatoes    |    No Class
clams    |    No Class
cream    |    No Class
corn    |    No Class
canola    |    No Class
soybean    |    No Class
modified    |    No Class
food    |    No Class
starch    |    No Class
wheat    |    No Class
flour    |    No Class
soy    |    No Class
protein    |    No Class
concentrate    |    No Class
uncured    |    No Class
smoked    |    No Class
bacon    |    No Class
nitrates    |    No Class
nitrites    |    No Class
added    |    No Class
except    |    No Class
naturally    |    No Class
occurring    |    No Class
sea    |    No Class
pork    |    No Class
water    |    No Class
dried    |    No Class
spices    |    No Class
sodium    |    ['sodium atom', 'sodium', 'sodium atom']
phosphate    |    No Class
succinic    |    No Class
acid    |    No Class
lecithin    |    No Class
sauce    |    No Class
soybeans    |    No Class
cod    |    No Class
milk    |    No Class
broccoli    |    No Class
cheddar    |    No Class
cheese    |    No Class
cultured    |    No Class
enzymes    |    No Class
whey    |    No Class
butter    |    No Class
parmesan    |    No Class
cultures    |    No Class
roasted    |    No Class
garlic    |    No Class
annatto    |    No Class
color    |    No Class
driedcontains    |    No Class
chicken    |    No Class
dehydrated    |    No Class
carrot    |    No Class
juice    |    No Class
celeriac    |    No Class
fat    |    No Class
onion    |    No Class
pea    |    No Class
beans    |    No Class
cooked    |    No Class
ham    |    No Class
phosphates    |    No Class
ascorbate    |    No Class
nitrite    |    No Class
tomato    |    No Class
paste    |    No Class
monosodium    |    No Class
glutamate    |    No Class
beta    |    No Class
carotene    |    No Class
smoke    |    No Class
diced    |    No Class
tomatoes    |    No Class
puree    |    No Class
olive    |    No Class
basil    |    No Class
citric    |    No Class
black    |    No Class
pepper    |    No Class
oregano    |    No Class
high    |    No Class
fructose    |    No Class
syrup    |    No Class
potassium    |    ['potassium atom', 'potassium', 'potassium atom']
chloride    |    No Class
ascorbic    |    No Class
vitamin    |    No Class
c    |    No Class
monopotassium    |    No Class
frankfurters    |    No Class
made    |    No Class
mechanically    |    No Class
separated    |    No Class
dextrose    |    No Class
flavors    |    No Class
enriched    |    No Class
pasta    |    No Class
niacin    |    No Class
ferrous    |    No Class
sulfate    |    No Class
thiamine    |    No Class
mononitrate    |    No Class
riboflavin    |    ['riboflavin', 'riboflavin', 'riboflavin (b2)']
folic    |    No Class
prepared    |    No Class
mustard    |    No Class
distilled    |    No Class
vinegar    |    No Class
seed    |    No Class
turmeric    |    No Class
paprika    |    No Class
spice    |    No Class
enzyme    |    No Class
calcium    |    ['calcium atom', 'calcium', 'calcium atom']
disodium    |    No Class
reconstituted    |    No Class
skim    |    No Class
navy    |    No Class
brown    |    No Class
powder    |    No Class
flavor    |    No Class
caramel    |    No Class
organic    |    No Class
chick    |    No Class
peas    |    No Class
red    |    No Class
bell    |    No Class
autolyzed    |    No Class
tamarind    |    No Class
reduced    |    No Class
iron    |    ['iron atom', 'iron', 'iron atom']
extra    |    No Class
virgin    |    No Class
oils    |    No Class
gluten    |    No Class
malt    |    No Class
malted    |    No Class
barley    |    No Class
rice    |    No Class
sesame    |    No Class
meal    |    No Class
margarine    |    No Class
palm    |    No Class
palmitate    |    No Class
mozzarella    |    No Class
parsley    |    No Class
flakes    |    No Class
extracts    |    No Class
broth    |    No Class
invert    |    No Class
molasses    |    No Class
eggs    |    No Class
cornstarch    |    No Class
ginger    |    No Class
baking    |    No Class
soda    |    No Class
cinnamon    |    No Class
smiles    |    No Class
whole    |    No Class
sunflower    |    No Class
cocoa    |    No Class
processed    |    No Class
alkali    |    No Class
chocolate    |    No Class
kernel    |    No Class
nonfat    |    No Class
solids    |    No Class
pyrophosphate    |    No Class
monocalcium    |    No Class
thyme    |    No Class
peaches    |    No Class
hydrogenated    |    No Class
cottonseed    |    No Class
apples    |    No Class
mono    |    No Class
diglycerides    |    ['diglyceride', 'diglyceride']
honey    |    No Class
cracked    |    No Class
oats    |    No Class
flaxseed    |    No Class
bran    |    No Class
germ    |    No Class
olives    |    No Class
monterey    |    No Class
jack    |    No Class
sweetener    |    No Class
blend    |    No Class
egg    |    No Class
whites    |    No Class
ammonium    |    No Class
bicarbonate    |    No Class
tartar    |    No Class
