fdc_id,brand_owner,brand_name,subbrand_name,gtin_upc,ingredients,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,branded_food_category,data_source,modified_date,available_date,market_country,discontinued_date
1105904,Richardson Oilseed Products (US) Limited,,,27000612323,Vegetable Oil,,15,ml,,Oils Edible,GDSN,10/2/2020,11/13/2020,United States,
1105905,CAMPBELL SOUP COMPANY,,,51000198808,"INGREDIENTS: BEEF STOCK, CONTAINS LESS THAN 2% OF: MIREPOIX (CARROTS, CELERY, ONIONS), SALT, NATURAL FLAVORING, YEAST EXTRACT, CANE SUGAR.",,240,ml,,Herbs/Spices/Extracts,GDSN,9/12/2020,11/13/2020,United States,
1105906,CAMPBELL SOUP COMPANY,,,51000213273,"INGREDIENTS: CLAM STOCK, POTATOES, CLAMS, CREAM, VEGETABLE OIL (CORN, CANOLA, AND/OR SOYBEAN), CELERY, CONTAINS LESS THAN 2% OF: MODIFIED FOOD STARCH, SALT, WHEAT FLOUR, SOY PROTEIN CONCENTRATE, UNCURED SMOKED BACON PIECES-NO NITRATES OR NITRITES ADDED, EXCEPT FOR THOSE NATURALLY OCCURRING IN SEA SALT (PORK, WATER, SEA SALT, SUGAR), DRIED ONIONS, SPICES, SODIUM PHOSPHATE, FLAVORING, CLAM EXTRACT, SUCCINIC ACID, SUGAR, SOY LECITHIN, SOY SAUCE (SOYBEANS, WHEAT, SALT).CONTAINS: COD, WHEAT, MILK, SOY.",,440,g,,Prepared Soups,GDSN,9/1/2020,11/13/2020,United States,
1105907,CAMPBELL SOUP COMPANY,,,51000213303,"INGREDIENTS: WATER, CREAM, BROCCOLI, CELERY, VEGETABLE OIL (CORN, CANOLA, AND/OR SOYBEAN), MODIFIED FOOD STARCH, CHEDDAR CHEESE** (CHEDDAR CHEESE [CULTURED MILK, SALT, ENZYMES], WHEY, SALT, SODIUM PHOSPHATE), CONTAINS LESS THAN 2% OF: BUTTER, PARMESAN AND CHEDDAR CHEESE (MILK, CULTURES, SALT, ENZYMES), WHEAT FLOUR, SALT, POTATOES**, ONIONS**, SOY PROTEIN CONCENTRATE, ROASTED GARLIC**, ANNATTO EXTRACT FOR COLOR, SOY LECITHIN.  **DRIEDCONTAINS: WHEAT, MILK, SOY.",,440,g,,Prepared Soups,GDSN,9/1/2020,11/13/2020,United States,
1105908,CAMPBELL SOUP COMPANY,,,51000224637,"INGREDIENTS: CHICKEN STOCK, CONTAINS LESS THAN 2% OF: YEAST EXTRACT, DEHYDRATED CHICKEN, NATURAL FLAVORING, CARROT JUICE CONCENTRATE, CELERIAC JUICE CONCENTRATE, CHICKEN FAT, ONION EXTRACT.",,240,ml,,Herbs/Spices/Extracts,GDSN,10/3/2020,11/13/2020,United States,
1105909,CAMPBELL SOUP COMPANY,,,51000227492,"INGREDIENTS: WATER, PEA BEANS, CARROTS, COOKED HAM - WATER ADDED (PORK, WATER, SALT, SUGAR, SODIUM PHOSPHATES, SODIUM ASCORBATE, SODIUM NITRITE), CELERY, CONTAINS LESS THAN 2% OF: MODIFIED FOOD STARCH, SUGAR, TOMATO PASTE, SALT, WHEAT FLOUR, YEAST EXTRACT, MONOSODIUM GLUTAMATE, NATURAL FLAVORING, BETA CAROTENE FOR COLOR, DRIED PORK STOCK, ONION EXTRACT, SMOKE FLAVORING, GARLIC EXTRACT.CONTAINS: WHEAT",,412,g,,Prepared Soups,GDSN,9/1/2020,11/13/2020,United States,
1105910,CAMPBELL SOUP COMPANY,,,51000024213,"INGREDIENTS: BEEF STOCK, CONTAINS LESS THAN 2% OF: MIREPOIX (CARROTS, CELERY, ONIONS), SALT, NATURAL FLAVORING, YEAST EXTRACT, CANE SUGAR.",,411,g,,Herbs/Spices/Extracts,GDSN,10/3/2020,11/13/2020,United States,
1105911,CAMPBELL SOUP COMPANY,,,51000227478,"INGREDIENTS: DICED TOMATOES IN TOMATO JUICE, TOMATO PUREE (WATER, TOMATO PASTE), ONIONS, OLIVE OIL, GARLIC, CONTAINS LESS THAN 1% OF: SALT, BASIL, CITRIC ACID, BLACK PEPPER, OREGANO.",,120,ml,,Sauces/Spreads/Dips/Condiments,GDSN,9/1/2020,11/13/2020,United States,
1105912,CAMPBELL SOUP COMPANY,,,51000058874,"INGREDIENTS: TOMATO PUREE (WATER, TOMATO PASTE), WATER, HIGH FRUCTOSE CORN SYRUP, WHEAT FLOUR, CONTAINS LESS THAN 2% OF: VEGETABLE OIL (CORN, CANOLA, AND/OR SOYBEAN), SALT, POTASSIUM CHLORIDE, NATURAL FLAVORING, CITRIC ACID, ASCORBIC ACID (VITAMIN C), MONOPOTASSIUM PHOSPHATE, CELERY EXTRACT, GARLIC OIL. CONTAINS: WHEAT",,120,ml,,Prepared Soups,GDSN,9/1/2020,11/13/2020,United States,
1105913,CAMPBELL SOUP COMPANY,,,51000232847,"INGREDIENTS: WATER, TOMATO PUREE (WATER, TOMATO PASTE), CHICKEN AND PORK FRANKFURTERS MADE WITH CHICKEN, PORK AND BEEF (MECHANICALLY SEPARATED CHICKEN, PORK, WATER, CORN SYRUP, SALT, BEEF, MODIFIED FOOD STARCH, DEXTROSE, ASCORBIC ACID, SODIUM NITRITE, NATURAL FLAVORS), ENRICHED PASTA (WHEAT FLOUR, NIACIN, FERROUS  SULFATE, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), HIGH FRUCTOSE CORN SYRUP, CONTAINS LESS THAN 2% OF: PREPARED MUSTARD (DISTILLED VINEGAR, WATER, MUSTARD SEED, SALT, TURMERIC, PAPRIKA, SPICE, GARLIC*), ENZYME MODIFIED CHEDDAR CHEESE (CHEDDAR CHEESE [CULTURED MILK, SALT, ENZYMES, CALCIUM CHLORIDE], WATER, DISODIUM PHOSPHATE, ENZYMES), SALT, FLAVORING, CITRIC ACID, ENZYME MODIFIED BUTTER, RECONSTITUTED SKIM MILK, MONOPOTASSIUM PHOSPHATE, GARLIC*. *DRIED CONTAINS: WHEAT, MILK",,443,g,,Dough Based Products / Meals,GDSN,9/26/2020,11/13/2020,United States,
